['S7 (Rhine-Main S-Bahn)', 'Rhine-Main S-Bahn']
['Yangon General Hospital', 'Burmese language']
['Grace Jividen', 'Judo']
['Roman Catholic Orphan School', 'Parramatta Female Factory']
['Beijing Office for Criminal Deportation', 'Prison']
['Emmanuelle Vaugier', 'List of CSI: NY characters']
['Maur Assembly constituency', 'Punjab Legislative Assembly']
['1967 Atlantic hurricane season', 'Hurricane Beulah']
['Alejandro Berber', 'Monterrey']
['Grebly', 'Geographic coordinate system']
['Willi Brendel', 'Field hockey']
['Ivo Orlandi', 'Shooting sports']
["Uqba ibn Abi Mu'ayt", 'Arabic']
['Sultan Ageng Tirtayasa University', 'Banten']
['Anglican Diocese of Dunedin', 'Diocese']
['Ananda Thuriya', 'Burmese language']
['2016 Portsmouth City Council election', 'No overall control']
['Mundiwindi', 'Ghost town']
['Saving Mr. Banks (soundtrack)', 'Soundtrack album']
['Enter the Slasher House', 'Avey Tare']
['Melissa Hart (actress)', 'Broadway theatre']
['Loimulohi', 'Finnish language']
['Chezib of Judah', 'Hebrew language']
['Digital movie camera', 'Digital cinematography']
['Renee Bargh', 'Entertainment journalism']
['Mack 10', 'Stage name']
['Radivoje', 'Cyrillic script']
['Janne Ahonen', 'Ski jumping']
['Chruślina-Kolonia', 'Village']
['Magdalene (sculpture)', 'Chicago']
['Illegal drug trade in the Turks and Caicos Islands', 'Cocaine']
['Saraswati Chaudhary', 'Nepali language']
['2013 Hamilton Tiger-Cats season', '2013 CFL season']
['2020 Greek Basketball Super Cup', 'Greek Basketball Super Cup']
['Éléonore de Roye', 'Louise de Montmorency']
['M. Michael Einik', 'Bucharest']
['Dzwonkowice', 'Village']
['Antonello Fassari', 'Rome']
["1991 Big Eight Conference men's basketball tournament", 'Hy-Vee Arena']
['Smith space', 'Functional analysis']
['Georges Bayle', 'Jacques Perret (writer)']
["I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job.", 'Light novel']
['Dileesh Nair', 'Film director']
['Elisa Hall de Asturias', 'Guatemala']
['Eretes', 'Beetle']
['Trina Gulliver', 'Order of the British Empire']
['Solomon Islands', 'Island country']
['2016–17 Al-Talaba SC season', 'Al-Talaba SC']
['Rindgea subterminata', 'Moth']
['Ankara Football League', 'Turkish language']
['Mr. Oizo discography', 'Discography']
['Hare Ram', 'Telugu language']
['Charles III of Naples', 'List of monarchs of Naples']
['You Make Me', 'Avicii']
['Oddjobs', 'Kill the Vultures']
['Society for the Protection of Animals Abroad', 'Charitable organization']
['Eric Ramsay (politician)', 'Australian Labor Party (New South Wales Branch)']
['World Balance', 'COVID-19 pandemic']
['Cân i Gymru', 'S4C']
['Investigative Committee of Russia', 'Russia']
['List of historic places in Chaudière-Appalaches', 'Chaudière-Appalaches']
['List of Room 222 episodes', 'Room 222']
['Members of the Australian Senate, 2014–2016', 'Australian Government']
['Regina Parra', 'Jewish Museum (Manhattan)']
['Alford Manor House', 'Listed building']
['Toorak College, Mount Eliza', 'Private school']
['Cascades (Marilyn Crispell album)', 'Marilyn Crispell']
['Remycampa', 'Diplura']
['Wireless (band)', 'Wireless (band)']
['Norman Partridge', 'American literature']
['Papyrus (company)', 'Stationery']
['German submarine U-457', 'Type VII submarine']
['Gedikpınarı, Silifke', 'Silifke']
['Geoffrey Hornblower Cock', 'Military Cross']
['Still Not Quite Human', 'Eric Luke']
['William Jackson (journalist)', 'Wolfe Tone']
['Smelly Old History', 'Oxford University Press']
['K10OI', 'Low-power broadcasting']
['Ireneusz Sekuła', 'Sosnowiec']
['Yasuaki Tsukada', 'Shogi']
['Rush Creek Valley, Indiana', 'Unincorporated area']
['Phaenomenella angusta', 'Species']
['2003–04 Spartan South Midlands Football League', 'Spartan South Midlands Football League']
['Jean Renard', 'Boxing']
['Cognitive appraisal', 'Interpretation (logic)']
['Floodtide', 'Romance film']
['Dorcatoma serra', 'Beetle']
['1931 Oldenburg state election', 'Landtag']
['CNE Ontario Government Building', 'Exhibition Place']
['Sheppard West station', 'List of Toronto subway stations']
['West Monroe Partners', 'Management consulting']
['Conditional short-circuit current', 'Alternating current']
["St Gabriel's Church, Pimlico", 'Anglo-Catholicism']
['Western Junior College Athletic Conference', 'National Junior College Athletic Association']
['August 2011 stock markets fall', 'Stock exchange']
['Baltimore City College athletics', 'Maryland Intercollegiate Football Association']
['Vyacheslav Gretsky', 'Centre (ice hockey)']
['Lena Lowis', 'India']
['Roques, Haute-Garonne', 'Occitan language']
['Death and the Judge', 'Documentary film']
['Scorpaenopsis eschmeyeri', 'Species']
['Tegulinus', 'Genus']
['Jul med Hep Stars', 'Pop music']
['The Dead Authors Podcast', 'Podcast']
['2019 Challenger Banque Nationale de Saguenay – Singles', 'Katherine Sebov']
['Petun', 'French language']
['Banzai (TV series)', 'Television in the United Kingdom']
['Teyvaz', 'Julfa District']
['Ōura scandal', 'Political scandal']
['Warped geometry', 'Mathematics']
['2011 Eastern Illinois Panthers football team', 'Eastern Illinois University']
['French frigate Bretagne', 'FREMM multipurpose frigate']
['Erik Christensen (American football)', 'American football']
['Tennessee State Route 308', 'Highway']
['2008 SAFF Championship squads', '2008 SAFF Championship']
['Murat Yıldırım (actor)', 'Konya']
['Jakubkowo, Warmian-Masurian Voivodeship', 'Village']
['Fandango (wrestler)', 'Professional wrestling']
['Ambalapuzha North', 'Ambalappuzha']
['Albertina Foundation (Denmark)', 'Danish language']
['Tarbolton railway station', 'Train station']
['J. W. Myers', 'Baritone']
['Index of Washington (state)-related articles', 'Washington (state)']
['Gregor Blanco', 'Professional baseball']
['Yukarıihsaniye, Çaycuma', 'Çaycuma']
['Lauren Lappin', 'All-America']
['Afigya Kwabre North (Ghana parliament constituency)', 'Electoral district']
['Soyokaze no Kuchizuke', 'Candies (group)']
['Verrazzano Open', 'Tennis']
['Field of Honor (1986 film)', 'Dutch language']
['Jocelyn Roy', 'National Professional Soccer League (1984–2001)']
['Nanzhao, Fujian', 'Simplified Chinese characters']
['Wyoming, Rhode Island', 'Census-designated place']
['Edward Goldman (professor)', 'Talmud']
['Sheea Herschorn', 'Hebrew language']
['Dónde Irán', 'La 5ª Estación']
['Strategic Defence Review', 'Labour Party (UK)']
['James T. Lacy', 'Democratic Party (United States)']
['Francesco Pigoni', 'Football in Italy']
['Mechernich', 'Colognian']
['Dorothy Conaghan Chiles', 'Politician']
['Mongolia at the 2010 Winter Olympics', 'Mongolia']
['Abacetus archambaulti', 'Ground beetle']
['Retorsion', 'French language']
['King of Tyre', 'Tyre, Lebanon']
['Will Haven', 'Noise rock']
["1906–07 Princeton Tigers men's ice hockey season", 'Lake Carnegie (New Jersey)']
['Lennox and Addington (Province of Canada electoral district)', 'Legislative Assembly of the Province of Canada']
['Law of total probability', 'Probability theory']
['2014 Australian Swimming Championships', 'Australian Swimming Championships']
['Longworth Peak', 'Murray Range']
['Strzeżów Drugi', 'Village']
['Okapi (knife)', 'Slipjoint']
['List of New Zealand Twenty20 International cricket records', 'Cricket']
['Hypatima spathota', 'Moth']
['Madog ap Llywelyn', 'List of rulers of Wales']
["2021 European Wrestling Championships – Women's Freestyle 57 kg", '2021 European Wrestling Championships']
['Cova da Beira wine', 'Portuguese wine']
['Panzi Hospital', 'Bukavu']
['Raya Haffar El Hassan', 'Birth name']
['ISO 7637', 'Electromagnetic compatibility']
['History of Ny-Ålesund', 'Ny-Ålesund']
['Michigan Southern Railroad (1989)', 'Reporting mark']
['Maria Merkert', 'Nysa, Poland']
['Harnahi', 'Bihar']
['Van Lingle Mungo (song)', 'Jazz']
['Frank Threlfo', 'Rugby league']
['Colorado Rocky Mountain School', 'Mixed-sex education']
['Andre Mack', 'Sommelier']
['Journal of Financial and Quantitative Analysis', 'Academic journal']
['Creag nan Damh', 'Scottish Gaelic']
['Carmenta tildeni', 'Moth']
['Bill Lockyer', 'Politician']
['Karen Pritzker', 'Pritzker family']
['Khorramdeh-e Gharbi', 'Persian language']
['Richard Weil (physician)', 'Columbia College (New York)']
['Masticophis schotti', 'Arthur Carl Victor Schott']
['Rymill Bay', 'Geographic coordinate system']
['Nolia Clap', 'Southern hip hop']
['Thara Kalyan', 'Malayalam cinema']
['Dam Dam', 'Persian language']
['Operation Retribution (1941)', 'German language']
['Ochiai Dam, Hokkaido (Japan)', 'Japanese language']
["The General's Garden", 'Chinese language']
['Martha Ehlin', 'Cancer']
['Joan I, Countess of Dreux', 'Counts of Dreux']
['John King (ukulelist)', 'Ukulele']
['Al Maghal', 'Mecca Province']
['Toledo Township, Chase County, Kansas', 'Civil township']
['Baima Township, Hebei', 'Simplified Chinese characters']
['Ultralight Beam', 'Kanye West']
['Holzmine 42', 'Anti-tank mine']
['Gerald Betts', 'Australian rules football']
['Chorasmian Expedition', 'Sergey Tolstov']
['List of World Championships medalists in weightlifting (men)']
['Zarechnaya Sloboda', 'Russian language']
['Puerto Rico Highway 104', 'Mayagüez, Puerto Rico']
['Opava District', 'Czech language']
['Princess Heungbang', 'Goryeo']
['Andreaea gainii', 'Antarctica']
['Walditch', 'Counties of England']
['Vanuatu at the 2022 Commonwealth Games', 'Vanuatu']
['Eheke', 'Namibia']
['Meusburger']
['Nexus 5', 'Android (operating system)']
['Slow Wave', 'Comic strip']
['Cape James Hill', 'Danish language']
['Łaznów-Kolonia', 'Village']
['Myths and Legends of Babylonia and Assyria', 'Book']
['Albert Watkins House', 'Lincoln, Nebraska']
['Palau Nacional', 'Catalan language']
['Sibpur, Paschim Bardhaman', 'Kanksa (community development block)']
['Language change', 'Language']
['La Haye, Manche', 'Communes of France']
['Prospect Park (Troy, New York)', 'Acre']
['Dairy Price Support Program', 'United States Department of Agriculture']
['C-Side', 'Jazze Pha']
['Strontium ranelate', 'Strontium']
['Castelraimondo', 'Comune']
['S. Irfan Habib', 'Science and technology studies in India']
["FIS Nordic World Ski Championships 2011 – Women's team sprint", 'Cross-country skiing at the FIS Nordic World Ski Championships 2009']
['Moskovskaya (Samara Metro)', 'Samara Metro']
['El Garrobo', 'Province of Seville']
['Khudkar Mahalleh', 'Persian language']
['Oquirrh, Utah', 'Census-designated place']
['SpryNet', 'Dial-up Internet access']
['Matt Prior (rugby league)', 'Rugby league']
['Sirkka-Liisa Landry', 'Finland']
['McCosh Grist Mill', 'Gristmill']
['Cañizal', 'Province of Zamora']
['Peronia platei', 'Gastropoda']
['Lost in the Fog', 'Thoroughbred']
['Regnobert of Bayeux', 'Latin']
['Scott Van Pelt', 'Sports commentator']
['Fumiaki']
['Pretty Village, Pretty Flame', 'Serbian language']
['Lore (Clannad album)', 'Ireland']
['Melpomene elegans', 'Spider']
['1973–74 Slovenian Republic League']
['Birgit Koschischek', 'Vienna']
['Ibibo', 'MakeMyTrip']
['Correbia euryptera', 'Moth']
['Loenpo Gang', 'Himalayas']
['West Putford', 'Civil parish']
['Michael Francis Egan', 'Order of Friars Minor']
['Martin Luther King Jr. Memorial', 'List of national memorials of the United States']
['San Costantino Calabro', 'Greek language']
['GodWeenSatan: The Oneness', 'Ween']
['Niels Kjærbølling', 'Ornithology']
['Tnaot Commune (Bati District)', 'Khmer language']
['Wilson Potter', 'National Register of Historic Places']
['Kinnaird R. McKee', 'United States Navy']
['Ponneri taluk', 'Tehsil']
['BMW Asian Open', 'Golf']
['2003 Slovenian Sunday shopping referendum', 'European Union']
['August Krönig', 'Chemist']
['Cristian Terheș', 'Member of the European Parliament']
["Q'uwa Laki", 'Aymara language']
['Down Darker Trails', 'Chaosium']
['Georgina George', 'Oxford']
['Arslan Ekşi', 'Volleyball']
["Fa'afiaula Sagote", 'Taro']
['Nekrasovo, Vladimir Oblast', 'Russian language']
['Trinidadian and Tobagonian nationality law', 'Trinidad and Tobago']
['Osborn–Bouton–Mead House', 'South Salem, New York']
['Singra,Kamrup', 'Kamrup district']
['Esopus Formation', 'Geological formation']
['Gentiva Health Services', 'Home care']
['Bromocriptine', 'Ergoline']
['Pelt (municipality)', 'Municipalities of Belgium']
['Danièle Hoffman-Rispal', 'National Assembly (France)']
['Giorgos Petrakis', 'Greek language']
['Stanisław Wagner', 'Starkówko']
['Gabon national football team', 'French language']
['Chestnut-throated spinetail', 'Bird']
['Wilfredo Prieto', 'Sancti Spíritus']
['Grant Dugmore', 'Cricket']
['Norwegian University of Life Sciences', 'Norwegian language']
['Enrico Fermi Award', 'President of the United States']
['Tezz', 'Action film']
['Hugh R. Pomeroy', 'California State Assembly']
['List of Australian Federal Police killed in the line of duty', 'Australian Federal Police']
['Pierre Leveille', 'Hurdling']
['Dyoma', 'Russian language']
['Lupe Valdez', 'Americans']
['Creusot steam hammer', 'Steam hammer']
['Badis Lebbihi', 'Association football']
['Rath, County Clare', 'Irish language']
['San Javier station', 'Medellín Metro']
['Harisadhan Dasgupta', 'Kolkata']
['Crest dil Cut', 'Mountain']
['Naas Racecourse', 'Horse racing']
['Natallia Solohub', 'Ge (Cyrillic)']
['Omar Benzerga', 'Arabic']
['Ransom (surname)', 'Ranulf']
['Kevin Evans (cricketer)', 'Cricket']
['Arthur Beauchamp', 'Member of parliament']
['Leonard French', 'Order of the British Empire']
['Crosley building', 'Office']
['Shell Shock (Part II)', 'NCIS (season 10)']
['Leonard Ainsworth', 'Order of Australia']
['2nd Floor (The Creatures song)', 'The Creatures']
['Jack Carlton Reed', 'Medellín Cartel']
['Casaleggio Novara', 'Comune']
['Boyer Glacier', 'Glacier']
['Franco Abbiati', 'Musicology']
['Redemption Road (album)', 'Tom Paxton']
['Luna Publications', 'Toronto']
['Sunset (magazine)', 'Lifestyle journalism']
['Hologymnetis argenteola', 'Flower chafer']
['Larry Sultan', 'San Fernando Valley']
['Messner Mountain Museum', 'Museum']
['Amanita calyptroderma', 'Mushroom']
['2022 Tirreno–Adriatico', 'Road bicycle racing']
['2017–18 Dhaka Premier Division Cricket League', 'Dhaka Premier Division Cricket League']
['Northern long-eared bat']
['Dollon', 'Communes of France']
['Doryteuthis opalescens', 'Squid']
['Haroonabad, Bahawalnagar', 'Punjabi language']
['Skeet River', 'Tasman District']
['Pathans of Sindh', 'Sindhi language']
['List of Spanish films of 1995', 'Cinema of Spain']
['The Falcon Out West', 'Mystery film']
['Mahan Kermanshah F.C.', 'Association football']
['Thomas F. August', 'Massachusetts']
['Dwiggins']
['Shits & Giggles', 'Mashup (music)']
['HD 155358', 'Metallicity']
['Austin Lake', 'Lake']
['Steir']
['Peter Gustav Lejeune Dirichlet', 'Mathematician']
['Elite Panel of ICC Referees', 'Test cricket']
['Miles Platting railway station', 'Miles Platting']
['Echidna (mythology)', 'Greek mythology']
['Raina Perez', 'Basketball']
['PalaGalassi', 'Arena']
['Ryan Jarrett', 'Summerville, Georgia']
['Ang sa Iyo Ay Akin', 'Philippine television drama']
['Patrick Spens, 1st Baron Spens', 'Order of the British Empire']
['Statue of Anne Hutchinson', 'Anne Hutchinson']
['Rodelle', 'Occitan language']
['Cezar Bononi', 'Professional wrestling']
['Marie Pélissier', 'Soprano']
['Greetings from Timbuk3', 'Timbuk 3']
['Division No. 2, Saskatchewan', 'Census geographic units of Canada']
['Macau Tower', 'Traditional Chinese characters']
['Emilie F. Miller', 'Democratic Party (United States)']
['Mujeres Creando', 'English language']
['Neftchilar Avenue', 'Azerbaijani language']
['Soulsby']
['David Carreira', 'Singing']
['Targeted covalent inhibitors', 'Covalent bond']
['Impendle', 'Umgungundlovu District Municipality']
['N4 road (Belgium)', 'Brussels']
['Walter Goines', 'Negro league baseball']
['2020 United States Senate election in New Hampshire', 'Jeanne Shaheen']
['Un pleito', 'Zarzuela']
['Douglas G. Perry', 'United States Navy']
['2019 WNBA All-Star Game', 'Exhibition game']
['The Abraham Park Kenneth Vine Collection', 'Museum']
['North Poso Kota', 'Indonesia']
['Charles Koerner', 'RKO Pictures']
['Lord Saman-ana', 'Sumerian religion']
['Calophasidia latens', 'Moth']
['Ferdy Sambo', 'Indonesian National Police']
['Frank Slater', 'Australian rules football']
['Kajžar', 'Ormož']
['Howard County Department of Corrections', 'Howard County, Maryland']
['Kings of Ailech', 'Ireland in the Middle Ages']
['José Erick Correa', 'Association football']
['Balranald Airport', 'IATA airport code']
['Dmytro Pavlychko', 'Ukrainian language']
['1983 NAIA Division I football season', 'College football']
['Guacara Municipality', 'Municipalities of Venezuela']
['Julian Calor (footballer)', 'Association football']
['Bismarckplatz, Heidelberg', 'Heidelberg']
['2020–21 Skeleton World Cup', 'Skeleton (sport)']
['Trypiotis', 'Mahallah']
['Convergent Series (short story collection)', 'Science fiction']
['The Little Emperors', 'Alfred Duggan']
['Cornu, Prahova', 'Communes of Romania']
['Weerayut Srivichai', 'Thai language']
['Klein geometry', 'Mathematics']
['John Dudley (c. 1573 – c. 1622)', 'Member of parliament']
['G.O.Y.A. (Gunz Or Yay Available)', 'Album']
['Gina Rinehart', 'Order of Australia']
['Wikibooks', 'Wiki']
['Langley Green, West Midlands', 'Oldbury, West Midlands']
['Stara Reka Reserve', 'Bulgarian language']
['Virgilio de los Reyes', 'Filipinos']
['KIUP', 'AM broadcasting']
['Carolina Araujo (swimmer)', 'Swimming (sport)']
['Sunshine 855', 'Worcestershire']
['Right-sided aortic arch', 'Aortic arch']
['William Vick', 'Ebley']
['Eduard Lepin', 'Russian language']
['Harriet Anne Thiselton-Dyer', 'Birth name']
['Louis III, Duke of Bavaria', 'Lower Bavaria']
['Karan Sharma (cricketer, born 1996)', 'Cricket']
['IPhone 5', 'List of iPhone models (placeholder)']
['1992 United States presidential election in New Mexico', 'George H. W. Bush']
["King's Plate (South Africa)", 'Queen Victoria']
["The Eagle's Mate", 'Drama (film and television)']
['The Finding of Moses (La Fosse)', 'Charles de La Fosse']
['Estradiol valerate/testosterone enanthate', 'Injection (medicine)']
['2014 BB&T Atlanta Open – Doubles', 'Édouard Roger-Vasselin']
['Amarildo Dimo', 'Association football']
['Albert Lance', 'Tenor']
['Ebaeides hirsuta', 'Beetle']
['The Family Album', 'New-age music']
['A Dog in Space', 'Antonio del Amo']
['Dark Arms: Beast Buster 1999', 'Action role-playing game']
['Plateosauravus', 'Grandparent']
['Wise River', 'Big Hole River']
['Donald M. Grant, Publisher', 'Fantasy']
['Adra (moth)', 'Genus']
['Nalongo and Nupani', 'Pacific Ocean']
['Elk River Dam', 'Elk River (Tennessee River tributary)']
['302nd Tactical Fighter Squadron (JASDF)', 'Japan Air Self-Defense Force']
['Lucey', 'Irish people']
["The Sims Spark'd", 'Reality television']
['1936–37 FC Barcelona season', 'FC Barcelona']
['2005 Uganda Super League', 'Police FC (Uganda)']
['John Hightower (American football)', 'American football']
['Alphonse Couturier (Liberal politician)', 'National Assembly of Quebec']
['Teair Tart', 'American football']
['Kupperman']
["Parfrey's Glen State Natural Area", "Devil's Lake State Park (Wisconsin)"]
['History of trigonometry', '2nd millennium BC']
['Cook Islands mythology', 'Myth']
['Lesley Locke', 'Association football']
['Mount Little', 'Kootenay National Park']
['Diplozoidae', 'Family (biology)']
['List of protected heritage sites in Aubel', 'Beschermd erfgoed']
['Andrea von Kampen', 'Seward, Nebraska']
['2014–15 Scottish Championship', 'Scottish Championship']
['Scott Moloney', 'Association football']
['Sailing Against the Wind', 'Bernhard Schmidt']
['National Campaign on Dalit Human Rights', 'Caste']
['Robert Hyde (died 1642)', 'Member of parliament']
['List of chairpersons of the Party of Democratic Action', 'Party of Democratic Action']
['Coleophora canadensisella', 'Moth']
['COPZ1', 'Protein']
['Causeyella causeyae', 'Millipede']
['Soyutma', 'List of dishes from the Caucasus']
['Owens Peak', 'Sierra Nevada']
['Hongzhou, Prince He', 'Manchu language']
['Stuart Devenie', 'New Zealand Order of Merit']
['Monostiolum', 'Genus']
['2017 Chesapeake Bayhawks season', 'Chesapeake Bayhawks']
['Human Impact', 'United States']
['Wallers', 'Communes of France']
['David Gray (musician)', 'White Ladder']
['Lucio España', 'Association football']
['1979 Nigerian presidential election', 'Olusegun Obasanjo']
['Rustem Adagamov', 'Russian language']
['1868 City of Nelson by-election', 'List of New Zealand by-elections']
['Nicolás Moreno (footballer, born 1994)', 'Association football']
['Sili, American Samoa', 'Ofu-Olosega']
['Google Toolbar', 'Web browser']
['Bacterioplanoides pacificum', 'Gram-negative bacteria']
['Essen West station', 'Essen']
['Khosrowabad, Kurdistan', 'Persian language']
['Baek Ji-eun', 'Basketball']
['Sir John Clerke, 4th Baronet', 'Clerke baronets']
['Francis Beltrán', 'Dominican Republic']
["Martin's Mill, Texas", 'Unincorporated area']
['Klaas de Vries (Labour Party)', 'Netherlands']
['Ewoldt Township, Carroll County, Iowa', 'Township (United States)']
['High Melton', 'Geographic coordinate system']
['Usman Dar', 'Pakistanis']
['2013 Wake Forest Demon Deacons football team', 'Wake Forest University']
["Charles M. O'Brien", 'Canadians']
['Édouard-Léon Scott de Martinville', 'Phonautograph']
['Naan Sigappu Manithan (2014 film)', 'Tamil language']
['Veluće mine', 'Cobalt']
['Dragon Ball Z: For Kinect', 'Video game']
['Gel electrophoresis', 'Biomolecule']
['List of South Korean women artists', 'South Korea']
['Stanley Salmons', 'Emeritus']
['Hussainabad block', 'Palamu district']
['Raymond Carroll Osburn', 'Ohio State University']
['Zeus and Roxanne', "Children's film"]
['Nokia Lumia 920', 'Smartphone']
['Harin Fernando', 'Member of parliament']
['Just Maduveli', 'Kannada']
['Protein serine/threonine phosphatase', 'Protein phosphatase']
['Nassim al-Roh', 'Arabic']
['Somatic (biology)', 'Cell biology']
['Chubek', 'Russian language']
['David Daniel (rugby union)', 'Wales']
['Pius Njawé', 'Le Messager']
['Corneal transplantation', 'Surgery']
['2018 Caracas drone attack', 'Avenida Bolívar, Caracas']
['Michael Peifer', 'Republican Party (United States)']
['Japanese submarine I-158', 'Imperial Japanese Navy']
['Anolis gonavensis', 'Species']
['QCode', 'Creative Artists Agency']
['Protovermileo', 'Vermileonidae']
['Torkalaki', 'Persian language']
['Thomas Pringle (politician)', 'Independent politicians in Ireland']
['Saarijärvi-Viitasaari sub-region', 'Central Finland']
['Kateřina Šafránková', 'Kolín']
['Juvigny-en-Perthois', 'Communes of France']
['Homeyer Verlag Leipzig', 'Leipzig']
['Labyrinth (board game)', 'Board game']
['Ketil Egge', 'Theatre director']
['Bridgett Kern', 'Contemporary worship music']
['Donald Grenesko', 'Tribune Media']
['Land of Widows', 'India']
['Edward Curtis Smith', 'Vermont']
['Sukit Chitranukhroh', 'Association football']
['Caledonia Junior High School', 'Dartmouth, Nova Scotia']
['Boris Ebzeyev', 'Russian language']
['List of Out with Dad episodes', 'Out with Dad (web series)']
['Mangochi Airport', 'IATA airport code']
['Lucy Weber', 'Democratic Party (United States)']
['Arthur Grant Duff', 'Order of St Michael and St George']
['Leek, Staffordshire', 'Market town']
['Spanish and Portuguese Jews', 'Sephardic Jews']
['Carl Frederik Diriks', 'Larvik']
['Talgang (Kellerwald)', 'Waldeck-Frankenberg']
['Wataru Hokoyama', 'Japanese people']
['John D. Owens', 'Computer engineering']
['List of FM radio stations in the United States by call sign (initial letters KA–KC)', 'FM broadcasting']
['Bob Spitulski', 'American football']
['Dharmendrasinh Jadeja', 'First-class cricket']
['John T. Hendrickson Jr.', 'New Jersey General Assembly']
['Defense Visual Information Distribution Service', 'Defense Media Activity']
['KCNA4', 'Protein']
['Marcelinho (footballer, born 2002)', 'Association football']
['Sedat Artuç', 'Oltu']
['Seaton Creek (Slippery Rock Creek tributary)', 'Slippery Rock Creek']
['Day One Support for Young People Trailblazer', 'Jobcentre Plus']
['WFHS-LP', 'FM broadcasting']
['Conyers Kirby', 'Association football']
["Y's Men International", 'Volunteering']
['Telecrates laetiorella', 'Moth']
